PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,quality_score
FwiwB,3r2k1/3P2b1/4p1pp/4P3/6PP/r5B1/1p2R1K1/3R4 w - - 1 43,e2b2 a3g3 g2g3 g7e5 g3f2 e5b2,1353,72,96,30126,attraction crushing endgame exposedKing fork long master,https://lichess.org/RwpdPzAO#85,,0.7936798861846378
aWIv4,r4rk1/pp3p2/2p2n1N/4q1pp/4P1b1/1Q1B2P1/PP3PP1/R3R1K1 b - - 1 20,g8h7 h6f7 f8f7 b3f7,1619,79,95,18772,crushing middlegame short,https://lichess.org/nhDNU0Jh/black#40,,0.7865248517858495
Kn4iz,2r1kbnr/1p1b1ppp/pqn1p3/3pP3/3P4/P2BBN2/1PQN1PPP/R3K2R b KQk - 4 11,c6e5 d4e5 b6e3 f2e3 c8c2 d3c2,1566,75,95,17387,crushing hangingPiece long middlegame,https://lichess.org/mWs0LNqg/black#22,French_Defense French_Defense_Steinitz_Attack,0.7878717112024187
7l9zC,2k5/p1p3p1/2p1p1q1/1p2P2p/3P4/P3P2P/1PP2QP1/5K2 w - - 0 25,c2c3 g6b1 f2e1 b1b2,1532,75,95,22395,advantage deflection endgame queenEndgame short,https://lichess.org/pZBsILh0#49,,0.7914430691474637
w27Xh,1r5k/6pp/Rb1q2n1/4pp2/2Q3n1/1Pp3P1/2N2PBP/5RK1 w - - 4 33,c4c3 b6f2 f1f2 d6a6,1674,74,96,15625,advantage discoveredAttack master middlegame short,https://lichess.org/I2f12Rsk#65,,0.7895759661968604
XMFp9,6k1/r2b1p2/pRpp2pb/P4p2/2PP2q1/2N1r1P1/1R1QNKB1/8 w - - 3 25,d2e3 h6e3 f2e3 f5f4,1497,78,94,14629,advantage attraction master middlegame short,https://lichess.org/VObkQ3s9#49,,0.770844335269878
V3T4e,8/5p2/p7/1p5r/1P3k2/1R3Pn1/P2K2N1/8 b - - 1 49,f4e5 f3f4 e5f5 b3g3,1507,76,96,18885,advantage discoveredAttack endgame master short,https://lichess.org/XS6kuGev/black#98,,0.7869473559113764
N8Nvx,8/6k1/2q1p1p1/Q2n1pPp/P1pPp2P/2P1P3/4KBP1/8 w - - 1 41,f2g3 c6a4 a5a4 d5c3 e2e1 c3a4,1744,75,96,10040,attraction crushing deflection endgame fork long sacrifice,https://lichess.org/qRs6yygY#81,,0.7724186777101673
RQFiy,1q4k1/5pp1/7p/1R6/1Q6/6PP/5P2/3r2K1 w - - 1 37,g1g2 b8a8 b5b7 d1d7,1481,75,95,21727,crushing endgame pin short,https://lichess.org/D8Ff3fSm#73,,0.7870795809634189
hh9Mt,6k1/2pb1pp1/8/2p1p1QN/p1PpP2P/P2P4/1r3PPK/3q4 b - - 0 35,d1g4 h5f6 g8h8 f6g4,1530,74,96,22184,advantage endgame pin short,https://lichess.org/f7utRYiW/black#70,,0.7957423149941443
n7JnG,3r1k2/pp3p1p/n2p1p2/5N2/2r2P2/P6R/6PP/4R1K1 b - - 1 25,d8e8 e1e8 f8e8 f5d6 e8d7 d6c4,1420,74,95,21826,attraction crushing endgame fork long,https://lichess.org/lbxxsQOa/black#50,,0.7844937866434534
mL0KK,2k1rbnr/ppp2ppp/2n5/3q3b/2Bp4/P4N1P/1PPN1PP1/R1BQ1K1R b - - 4 10,d5f5 g2g4 f5d7 g4h5,1468,74,96,22195,advantage fork opening short,https://lichess.org/aPPSrfem/black#20,Scotch_Game Scotch_Game_Other_variations,0.7913223324726314
TL6Dm,2r2rk1/pp3ppp/4b3/q2p4/1R1Q4/2P2N1P/P1P2PP1/2K4R b - - 7 17,a5a2 b4a4 a2a4 d4a4,1547,75,96,13018,advantage middlegame short trappedPiece,https://lichess.org/3CxUUHHE/black#34,Sicilian_Defense Sicilian_Defense_Marshall_Gambit,0.7826519203812164
1HtCL,8/8/2b3p1/2PkBp2/5P2/r7/P7/3RK3 b - - 5 38,d5c5 e5d6 c5c4 d6a3,1441,74,95,28942,crushing endgame short skewer,https://lichess.org/CATMmhxV/black#76,,0.7926860481021804
9lxiQ,6k1/5p1p/3R2p1/4P3/3pQ3/6P1/1qr2P1P/6K1 w - - 0 34,d6f6 b2b1 g1g2 c2f2 g2f2 b1e4,1688,75,97,7715,crushing discoveredAttack endgame long,https://lichess.org/zJysfm1r#67,,0.7731761419938691
5dL8m,4r3/4k3/P1r2p2/7Q/8/6Pp/3K1PqP/4R3 b - - 7 36,c6e6 e1e6 e7e6 h5e8,1564,76,96,11551,attraction crushing endgame short,https://lichess.org/0ufBoCT4/black#72,,0.7793655566054446
xXbYc,8/p5R1/1b3k2/6R1/5rPK/4r2P/8/8 b - - 0 50,e3e7 g5g6 f6e5 g7e7,1536,78,95,27752,crushing deflection endgame short,https://lichess.org/xduPwGqP/black#100,,0.791814393044644
oGjMK,4r3/3r1pk1/1q4p1/pp2P2p/3P2b1/1B6/P2Q2PP/4RR1K b - - 3 30,b6d4 f1f7 d7f7 d2d4,1517,75,95,23068,crushing deflection master middlegame short,https://lichess.org/Q5chBaKJ/black#60,,0.7910729370728657
HzsEX,r7/1pk4p/p1pb1p2/5Br1/3PR3/8/PPP2P1P/4R2K w - - 4 23,f5g4 f6f5 h2h4 g5g4 e4g4 f5g4,1479,75,97,18165,crushing endgame fork long,https://lichess.org/c1VndtxG#45,,0.788690909925169
SsSfi,r5r1/ppk2q1p/2pp1p1p/2b1pQ2/4P1P1/1P1P2NP/1PP2P2/R4RK1 w - - 7 21,g3h5 g8g5 f5f3 f7h5,1656,72,97,19418,crushing middlegame pin short,https://lichess.org/c376p1vt#41,,0.802349018334026
UtA2j,8/6k1/6p1/5pK1/7P/6P1/8/8 b - - 2 60,g7h7 h4h5 g6h5 g5h5 h7g7 h5g5,1548,78,96,21146,crushing endgame long pawnEndgame,https://lichess.org/iEy1n1UZ/black#120,,0.789226021423034
CjzIY,2k2r2/Bp1r2p1/2qppn1p/4p3/4P3/2P3QP/PP3PP1/3R1RK1 w - - 3 18,f2f3 b7b6 a7b6 c6b6,1603,75,96,13874,advantage middlegame quietMove short trappedPiece,https://lichess.org/0ZD2zluv#35,Italian_Game Italian_Game_Blackburne-Kostic_Gambit,0.788164759499387
iyxxE,2rq2rk/1p3p1n/p1b1pn1Q/7N/3P3P/3B4/PP3PP1/2R2RK1 w - - 5 26,h5f6 g8g2 g1h1 g2g6 c1c6 g6h6,1572,75,95,16029,crushing discoveredAttack long middlegame,https://lichess.org/8l0uCHBd#51,,0.7863723332234049
FoJ4M,5rk1/Q1p1n1pp/3b2r1/5p1q/2NPpP2/2P4P/PP4P1/R1B2RK1 w - - 1 23,g1h1 h5e2 f1g1 e2c4,1715,73,95,15475,crushing fork middlegame short,https://lichess.org/SPoK5HCd#45,,0.7850832437538288
yxXIF,2k1r3/pp1r4/3B3p/3pPpp1/5P2/1Pn4P/2P3P1/R3R1K1 b - - 1 24,g5f4 a1a7 d7d6 a7a8 c8d7 a8e8,1749,74,95,14856,advantage endgame long queensideAttack sacrifice,https://lichess.org/Bm9IryYe/black#48,,0.7800183448039854
sldxq,8/R5pk/3B3p/3n4/8/p2rr1P1/5RKP/8 b - - 3 35,d5f6 f2f6 e3e2 g2h3,1602,79,96,21877,advantage defensiveMove endgame master pin short,https://lichess.org/Q7fCjOwj/black#70,,0.7922250864499366
3as1T,rn1qkb1r/pp2pp2/2p2p2/7p/2B2Pb1/5N2/PPPP2PP/R1BQK2R w KQkq - 2 8,e1g1 g4f3 f1f3 d8d4 g1h1 d4c4,1542,75,95,21099,advantage fork long opening,https://lichess.org/OOiOMlW4#15,Caro-Kann_Defense Caro-Kann_Defense_Other_variations,0.7907443832320433
6hdA7,6k1/R7/7p/8/PbN5/1q2B2P/6P1/6K1 w - - 0 41,a7c7 b3d1 g1h2 b4d6 c4d6 d1d6 g2g3 d6c7,1709,74,98,9787,crushing endgame fork veryLong,https://lichess.org/KeXA5iom#81,,0.7819820004143769
kgzvg,r1b3k1/ppp2r1p/3b1qp1/3p2N1/1P2p2Q/2PB1P2/P5PP/R3R1K1 b - - 0 20,e4d3 e1e8 d6f8 e8f8 g8f8 g5h7,1554,75,97,14207,attraction crushing deflection kingsideAttack long middlegame,https://lichess.org/75dIR58h/black#40,,0.7882246342332926
9NiN3,3r2k1/5p2/p4n1p/P3R1p1/1Pp4P/2P2P2/2BqQ1P1/6K1 w - - 1 34,e5e3 d2c1 e2e1 c1c2,1675,76,94,14348,advantage deflection endgame short,https://lichess.org/V8CacSDT#67,,0.7781495275640706
rWEsD,r4rk1/1p1b2p1/2p1q2p/p2pPB1Q/8/P3PR1P/1P4P1/5RK1 b - - 8 25,e6e5 f5h7 g8h7 h5e5,1514,75,98,11545,advantage discoveredAttack kingsideAttack master middlegame short,https://lichess.org/ACgws2HW/black#50,,0.7834459226435285
hP9WJ,r3k1r1/1pp2p1p/pb5p/4Nb2/2N5/2P4P/PP3PP1/R2R3K b q - 5 16,b6f2 d1f1 f7f6 f1f2,1523,73,94,21256,advantage middlegame short,https://lichess.org/gTCxFRpy/black#32,Ruy_Lopez Ruy_Lopez_Classical_Variation,0.7898953889215274
zWpAZ,r3k2r/p1p2ppp/8/1pbn1n2/3p3q/2P2P2/PP2QNPP/RNB1K2R b KQkq - 1 13,d5e7 e2b5 c7c6 b5c5,1513,79,96,31066,advantage fork middlegame short,https://lichess.org/sZycvCoM/black#26,Italian_Game Italian_Game_Two_Knights_Defense,0.7941785098830004
76Xgw,r7/8/1p6/5RP1/pk3P1K/8/8/8 w - - 0 50,g5g6 a4a3 f5e5 a3a2,1533,75,95,16978,advancedPawn crushing endgame rookEndgame short,https://lichess.org/5IjxGPLl#99,,0.7849484558179143
j1841,2k4r/pp3p1p/2pQpp2/2r5/2B4P/qP3P2/2K3P1/2NR3R w - - 2 25,c1d3 c5c4 b3c4 a3d6,1765,74,96,14453,advantage discoveredAttack master middlegame short,https://lichess.org/0jmqKPNb#49,,0.781222580255684
JUGT3,2r5/3q1kpp/p3p1r1/Ppp1Rp2/3p1PP1/3P3P/1PP1Q3/4R1K1 b - - 0 29,f5g4 f4f5 e6f5 e5e7 d7e7 e2e7,1666,75,96,11444,crushing endgame fork long,https://lichess.org/zKBC5Jxx/black#58,,0.7810974826979679
aNN5P,r1b1k2r/1ppp1pp1/p6p/3Q4/2B1P3/2P1q3/PP4PP/5R1K b kq - 3 17,e8g8 f1f7 e3c1 f7f1 g8h8 f1c1,1642,77,95,12707,crushing discoveredAttack long middlegame,https://lichess.org/0tEJsRzy/black#34,Ruy_Lopez Ruy_Lopez_Cozio_Defense,0.7789618484767826
5pi7U,5r2/3R1pkp/4p1p1/p1p1N3/1bB3P1/1P5P/P4P2/1b4K1 w - - 1 24,c4e6 g7f6 e6c4 f6e5,1522,74,95,13969,crushing endgame short,https://lichess.org/dHCrQbnf#47,,0.7812033783752852
qrSuP,6k1/3R3p/7p/1p4b1/p7/1r5P/1P3KP1/3R4 w - - 0 38,d1e1 g5h4 f2f1 h4e1,1547,73,95,20741,crushing endgame short skewer,https://lichess.org/yAxtkK8T#75,,0.7940293378437048
OsJmH,r3k2r/pp3ppp/2p5/q1np1b2/1bP1n3/1PN1PN2/PBQ1BPPP/2R1K2R w Kkq - 11 13,e1g1 e4c3 c2f5 c3e2,1636,77,96,16863,crushing middlegame short,https://lichess.org/fa7fvtPG#25,English_Opening English_Opening_Kings_English_Variation,0.7891001459350588
MVENo,r4rk1/pp1q1pb1/3p2pp/2pP4/4N3/2P3Q1/PP3PPP/R3R1K1 b - - 4 18,g7e5 g3e5 d6e5 e4f6 g8g7 f6d7,1503,72,94,26129,advantage fork long middlegame sacrifice,https://lichess.org/D1WBGK7c/black#36,Sicilian_Defense Sicilian_Defense_Alapin_Variation,0.7950266574182524
X5hS9,r2qkb1r/ppp1pppp/2n5/3nP3/2BP2b1/4BN2/PP3PPP/RN1QK2R b KQkq - 0 7,d5b6 c4f7 e8f7 f3g5 f7g8 d1g4,1678,74,95,16023,attackingF2F7 attraction crushing discoveredAttack long opening sacrifice,https://lichess.org/Wf5GSSrU/black#14,Queens_Gambit_Accepted Queens_Gambit_Accepted_Central_Variation,0.786886448655377
ccISr,r1b1k1nB/p2p1p1p/1p2p3/2b5/4Pq2/2Q5/PPP2PPP/RN2KB1R w KQq - 1 10,c3f3 f4c1 f3d1 c5f2 e1f2 c1d1,1325,76,95,32454,advantage attackingF2F7 deflection long opening,https://lichess.org/LGoHD31n#19,Sicilian_Defense Sicilian_Defense_Open,0.7837767710768939
g92CP,3r2k1/p1p2ppp/8/2Qbq3/8/2P1N3/Pr3PPP/R3KB1R w KQ - 0 18,f1e2 b2e2 e1e2 d5f3 e2f3 e5c5,1683,73,95,18547,advantage attraction discoveredAttack long middlegame sacrifice,https://lichess.org/BVzElhwd#35,Scotch_Game Scotch_Game_Schmidt_Variation,0.7916642381655933
F178A,r4r1k/ppp3pp/1b1p2n1/7q/3P1p2/BP2PNP1/P1Q2PKP/2R2R2 w - - 0 21,e3f4 g6f4 g3f4 h5g4 g2h1 g4f3,1540,80,96,22315,crushing deflection long middlegame sacrifice,https://lichess.org/e7eN53KU#41,,0.7865967188160868
Foohe,5b2/5k2/8/5p2/1rKR1P2/8/8/2B5 w - - 0 49,c4d5 b4b5 d5c6 b5c5 c6b6 c5c1,1529,76,97,12807,crushing endgame fork long,https://lichess.org/RE8drpOT#97,,0.7823111627492669
SThBm,r2k4/p1q1b2Q/2p5/3p4/8/2N5/PPP2rPP/R3R1K1 w - - 0 20,g1f2 e7c5 f2e2 c7h7,1564,76,97,27032,crushing discoveredAttack middlegame short,https://lichess.org/pIGVENWS#39,,0.8025258604594515
BvHtX,r1bq1rk1/pp3ppp/2n5/8/2B5/2b2N2/P1P1QPPP/1RB2RK1 b - - 1 12,f8e8 c4f7 g8f7 e2c4,1566,76,96,19346,attraction crushing kingsideAttack opening sacrifice short,https://lichess.org/EnG51aVH/black#24,Alekhine_Defense Alekhine_Defense_Scandinavian_Variation,0.7917365139393981
m7SGP,1r1qk2r/ppp2ppp/2nb4/3p3b/3P4/PQ2PP2/1P1N2PP/R1B1K1NR w KQk - 0 12,b3d5 d6g3 h2g3 d8d5,1662,76,95,25718,crushing discoveredAttack opening short,https://lichess.org/NRbHOpZB#23,Queens_Pawn_Game Queens_Pawn_Game_Stonewall_Attack,0.7959161467598654
cKgFc,r2q1rk1/4ppb1/p2p2p1/1ppNn3/4PNbQ/1P1PB3/1PP3PP/R4RK1 b - - 4 16,e7e6 d5e7 d8e7 h4e7,1644,75,95,17244,crushing kingsideAttack middlegame short,https://lichess.org/bKMm3t5W/black#32,Sicilian_Defense Sicilian_Defense_Bowdler_Attack,0.7893914034371116
Ekibm,7k/q6p/3p1rp1/1p1Bp1b1/8/2P5/PPQ2PPP/3R2K1 w - - 3 26,a2a3 f6f2 c2f2 g5e3 f2e3 a7e3,1559,75,94,11904,advantage endgame long pin sacrifice,https://lichess.org/azBR5jGG#51,,0.7753885669052814
7O5uW,1r4k1/R4ppp/2N5/4p3/p7/4PK1P/1r3PP1/8 b - - 1 30,b8b6 a7a8 b6b8 c6b8,1623,78,94,16545,advantage endgame short,https://lichess.org/924jqmiv/black#60,,0.7819113058133148
EXb1J,8/8/3k2p1/p3n2p/3P1N2/P7/2K5/8 b - - 0 50,g6g5 d4e5 d6e5 f4h5,1512,77,97,24760,crushing endgame knightEndgame short,https://lichess.org/C7o1WLWY/black#100,,0.7950605741276007
jEOaU,8/1kp5/5p2/1P1K2p1/3N4/4P3/2RB2r1/1r6 w - - 4 52,d2a5 g2c2 d4c2 b1b5,1535,77,95,26632,crushing endgame short,https://lichess.org/2DYlXecI#103,,0.792432796389931
rwvQ4,6k1/2p1rp2/1r3qp1/8/4P3/Q7/PpP3PP/1R1R2K1 b - - 0 24,e7e4 a3a8 g8g7 a8e4,1361,75,95,26127,crushing endgame fork short,https://lichess.org/0BG8teUg/black#48,,0.7828747351709213
ewKgN,8/8/3K4/1kP3P1/4b3/8/8/8 b - - 0 60,e4g6 c5c6 b5b6 c6c7 b6b7 d6d7 g6f5 d7d8 b7c6 g5g6 f5g6 c7c8q,1751,75,94,11727,advancedPawn bishopEndgame crushing defensiveMove deflection endgame promotion veryLong,https://lichess.org/yXS3i6oH/black#120,,0.7696009186987054
6FCep,3r2k1/R4pp1/2N1p2p/3pP3/4nP2/8/Pr4PP/5R1K b - - 1 30,d8c8 c6e7 g8h7 e7c8 e4f2 h1g1,1364,74,96,27890,crushing endgame fork long,https://lichess.org/3j5FfbmP/black#60,,0.7893041800003538
XQDHJ,8/p5k1/2p3p1/4P1P1/2N2R1p/2P4P/P3rb2/7K w - - 3 45,h1g2 f2g3 g2f3 e2f2 f3e3 f2f4,1592,74,95,7752,advantage discoveredAttack endgame long master skewer,https://lichess.org/Mbfw4BUV#89,,0.7722443063872568
SCc6I,4rk2/1Q4pb/p6p/7P/1P4P1/P5N1/4r1K1/8 w - - 1 36,g3e2 h7e4 b7e4 e8e4,1430,73,95,27395,advantage endgame fork master short,https://lichess.org/VeN3IjRv#71,,0.7922638826980632
5BVU0,8/5B2/3p2P1/2pP1p1n/1kP2P2/3K4/8/8 w - - 3 52,f7e6 h5f4 d3e3 f4g6,1612,75,98,7721,crushing endgame master short,https://lichess.org/jUzfzTJt#103,,0.7809122292016907
C0lgO,r1r3k1/pp1n1ppp/1q2pn2/2b5/2Q5/2N3P1/PP2PPBP/R1B2RK1 w - - 0 13,c3a4 c5f2 f1f2 b6f2 g1f2 c8c4,1674,74,96,12692,crushing kingsideAttack long master middlegame,https://lichess.org/hGl32TrE#25,Catalan_Opening Catalan_Opening_Closed,0.7846464946610645
ebV6J,4R3/7p/1p3P2/3k4/6P1/2n4P/2b2K2/8 b - - 0 43,c3e4 e8e4 d5e4 f6f7,1437,78,95,26447,advancedPawn crushing endgame sacrifice short,https://lichess.org/5OONT3wy/black#86,,0.7835958384699799
RZUI1,r3kb1r/2q1ppp1/p1p3p1/2pP2P1/8/2N3nP/PPPB1P1R/R2QK3 w Qkq - 0 17,f2g3 c7g3 h2f2 h8h3 d2f4 h3h1,1596,72,95,19160,advantage deflection fork long middlegame,https://lichess.org/3LxJUJai#33,Scandinavian_Defense Scandinavian_Defense_Main_Line,0.797318497749491
tRZB9,rnbq1rk1/1p2bpp1/p1pp1n1p/8/3NP3/2N1B1P1/PPP2PBP/R2Q1RK1 w - - 0 10,d1f3 c8g4 f3f4 g7g5,1493,76,95,17478,crushing middlegame short,https://lichess.org/QBsWmZ8o#19,Philidor_Defense Philidor_Defense_Exchange_Variation,0.7811108069409908
p4cF9,r4rk1/ppq1ppbp/6pB/2n2b2/2P5/5N1P/PP2BPP1/R1Q2RK1 b - - 3 14,c5d3 e2d3 f5d3 h6g7 g8g7 c1c3 f7f6 c3d3,1618,75,94,10397,attraction crushing fork middlegame veryLong,https://lichess.org/ASRXFrcp/black#28,Modern_Defense Modern_Defense_Norwegian_Defense,0.7762535466318627
g3VIQ,5r1k/1q6/2p1Pp1p/6nP/Q7/p2P4/BrP5/K5RR w - - 2 33,a4a3 b2a2 a3a2 f8a8,1560,75,95,26936,advantage middlegame pin sacrifice short,https://lichess.org/Qi62yyvL#65,,0.7978222507897521
GgjSM,5rk1/6pp/p6r/2P4q/1P1BQ3/P7/5PP1/4RRK1 w - - 1 31,f2f4 h5h2 g1f2 f8f4 e4f4 h2f4,1568,74,96,27023,advantage fork long middlegame,https://lichess.org/drwUCk6F#61,,0.8031372164964544
q7JW2,8/p5k1/1p1K4/2p1Q3/8/8/8/6q1 b - - 6 59,g7h6 e5h8 h6g6 h8g8 g6f5 g8g1,1415,74,96,28490,crushing endgame exposedKing long queenEndgame skewer,https://lichess.org/jZoqlS6S/black#118,,0.7934543409909791
1SYbG,r5r1/pp1n1ppk/2q4p/4p3/3pNnQN/3P4/PPP2PPP/R4RK1 b - - 11 19,g7g6 g4d7 c6d7 e4f6 h7g7 f6d7,1565,73,94,10322,advantage attraction fork long middlegame pin sacrifice,https://lichess.org/0kvq62bC/black#38,Bishops_Opening Bishops_Opening_Berlin_Defense,0.7757697630985714
Veu5N,3r4/p2P4/1p4k1/7R/4q1p1/P3N1P1/1P1R1K1P/8 w - - 1 52,d2d5 e4f3 f2g1 f3e3,1387,76,96,22688,crushing deflection endgame short,https://lichess.org/9LKeGEXX#103,,0.7827200671047916
HiDU9,r2b3r/1p1nk1pp/1ppRbp2/4p3/4P3/P3B1P1/1PP1NPBP/1K1R4 b - - 3 16,d8c7 d6e6 e7e6 g2h3 f6f5 h3f5,1656,74,94,18695,attraction crushing long middlegame sacrifice,https://lichess.org/6R68pHwT/black#32,Vienna_Game Vienna_Game_Mieses_Variation,0.7891159791146247
sAyqH,1nr3k1/p5pp/3R4/1p1N4/2p1P3/B2n1P2/P2K2PP/8 b - - 17 27,b8c6 d6c6 c8c6 d5e7 g8f7 e7c6,1353,73,96,17386,attraction crushing endgame fork long sacrifice,https://lichess.org/QWPSUUwY/black#54,,0.778978519943434
JKRQE,r1b1k2r/4bppp/1qp1pn2/2p3B1/p3p3/P2P1N2/1PP1NPPP/1R1Q1RK1 w kq - 0 12,g5f6 e4f3 f6e7 f3e2 d1e2 e8e7,1642,72,94,12517,advancedPawn advantage long opening,https://lichess.org/wvo4OHUi#23,Sicilian_Defense Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack,0.783937975178193
TqiiH,3rr1k1/pp3ppp/8/4N1q1/8/P1PP1Q1b/1P3PP1/R4RK1 b - - 1 21,h3g2 f3f7 g8h8 f7e8 d8e8 e5f7 h8g8 f7g5,1518,76,96,17965,crushing fork middlegame sacrifice veryLong,https://lichess.org/tA8dcfQA/black#42,,0.7865494371492334
q59tQ,1r3rk1/7p/3p1pp1/pnp2q2/3n1N1P/1P1P2P1/P2Q1PB1/R4RK1 w - - 1 23,g2e4 f5e4 d3e4 d4f3 g1g2 f3d2,1520,73,94,20676,crushing fork long middlegame sacrifice,https://lichess.org/QGfzsG68#45,,0.7890249626477919
Y0HeN,4r1k1/pb2rpp1/6p1/2pn4/2N5/PP4P1/5RBP/5RK1 b - - 1 34,d5c3 g2b7 e7b7 c4d6 e8e7 d6b7,1627,75,96,8243,advantage attraction fork long middlegame,https://lichess.org/0os96nhC/black#68,,0.7761059149398929
PxtGZ,1r6/5k1p/2n1r1p1/2B2b2/2B5/1KP4P/P4PP1/R6R w - - 7 27,c5b4 c6a5 b3a3 a5c4,1383,74,96,31470,crushing deflection middlegame pin short,https://lichess.org/BqQ3Zysl#53,,0.7935258638455635
wCqZl,4r2k/1p2Nbrp/p2p4/8/P4p2/5P1q/2P1Q1P1/4R1K1 b - - 0 32,f7c4 e7g6 g7g6 e2e8 g6g8 e8g8 h8g8 g2h3,1560,75,95,8315,advantage discoveredAttack middlegame veryLong,https://lichess.org/PacQo7Vt/black#64,,0.7699525687682833
XVuAJ,1k2q3/2p2r2/1p1bp2p/1P2Q1p1/5p2/P1N4P/1B3PP1/4R1K1 w - - 3 30,e5e6 f7e7 e6e7 d6e7 c3d5 e8b5,1598,75,96,25655,advantage long middlegame,https://lichess.org/ntfulVaU#59,,0.802383127696122
UFfd0,5rk1/1b4p1/1q2p1P1/ppb1N3/3N3Q/3pn1P1/PP5P/R5K1 b - - 0 27,f8f6 h4h7 g8f8 e5d7,1641,78,96,16645,crushing kingsideAttack middlegame short,https://lichess.org/Jt591eyN/black#54,,0.786767553340063
w2fZ8,5krr/p3qp2/1p2p1n1/2ppP1N1/3P2QP/2P1P1P1/PP6/5RK1 b - - 4 32,g8g7 g5e6 f8g8 e6g7,1512,75,95,25429,crushing middlegame pin short,https://lichess.org/Jkpwpadr/black#64,,0.7930260748402689
6VV22,8/5pp1/pR3r1p/PP6/4k3/7P/6PK/8 b - - 0 42,a6b5 b6f6 g7f6 a5a6 e4d5 a6a7,1346,74,97,26194,advancedPawn crushing endgame long rookEndgame,https://lichess.org/rV5YFHnI/black#84,,0.7895299353453283
HTdzF,8/p4kp1/Pn1R3p/1P2r3/4B3/7P/4K3/8 w - - 0 43,e2e3 b6c4 e3d4 e5e4 d4e4 c4d6,1612,73,95,20469,attraction crushing endgame exposedKing fork long,https://lichess.org/Pi1MLE0c#85,,0.79836250411772
VFK6X,3R4/5p2/1pk3p1/7p/P1r1p2P/R1P3P1/2r2PK1/8 b - - 1 38,c2c3 a3c3 c4c3 d8c8 c6d6 c8c3,1536,76,95,17021,crushing endgame long master pin rookEndgame skewer,https://lichess.org/8TE923xe/black#76,,0.7835562048081851
KHoAI,4k1r1/1b3p2/p2q1n1Q/1p1p3P/4P3/2P2P2/2PK4/3R1B1R w - - 2 23,e4d5 f6e4 f3e4 d6h6,1854,75,95,15826,crushing discoveredAttack middlegame short,https://lichess.org/3GKGLcWI#45,,0.7723460385543287
tygua,2rq1rk1/p3bppp/bpn1p3/8/3PP3/4BP2/P3N1PP/1BRQR1K1 b - - 6 15,e7a3 c1c6 c8c6 d1a4 b6b5 a4a3,1665,74,96,10363,advantage fork long opening sacrifice,https://lichess.org/bhCtkbsf/black#30,Queens_Indian_Accelerated Queens_Indian_Accelerated_Other_variations,0.780483007402072
Kd9hI,r1bqk2r/pp3p2/2n1p2p/3p2p1/2pPP3/P5B1/2PN1PPP/Q3KB1R b Kkq - 0 14,d5e4 d4d5 e6d5 a1h8,1428,75,96,13628,advantage discoveredAttack middlegame short,https://lichess.org/hHnloaD3/black#28,Queens_Pawn_Game Queens_Pawn_Game_Veresov_Attack,0.7752316379701096
uYK57,8/5p2/4kp1p/p1p4P/1pP2KP1/1P6/P7/8 b - - 1 36,f6f5 g4g5 h6g5 f4g5,1714,76,96,17206,crushing endgame pawnEndgame short,https://lichess.org/ZJDD6IfW/black#72,,0.7856688539085392
17ZZ8,8/5k1p/2p2p2/p3pN2/1rn1P1P1/8/5PKP/2R5 b - - 3 30,a5a4 c1c4 b4c4 f5d6 f7e7 d6c4,1424,72,94,26568,advantage attraction endgame fork long sacrifice,https://lichess.org/C8lR5vmC/black#60,,0.7897748406309503
2ATex,8/p7/1p1pp3/2p2k2/2PP1Pp1/4K1P1/PP6/8 b - - 0 32,e6e5 f4e5 d6e5 d4d5,1657,75,96,12913,crushing defensiveMove endgame master pawnEndgame short,https://lichess.org/z1tPVUa9/black#64,,0.784604289876758
6OyKB,3R4/6kp/6p1/5p2/3P1P1P/4p1P1/3r4/6K1 w - - 3 35,d4d5 d2d1 g1g2 e3e2,1770,74,95,17536,advancedPawn crushing endgame rookEndgame short,https://lichess.org/XNsAKsQu#69,,0.7824497849890534
Lb6ez,8/8/2Q4p/1p1pqppk/2p3P1/P1P2P1P/1P6/7K b - - 0 38,f5g4 h3g4 h5h4 c6h6 h4g3 h6h2 g3f3 h2e5,1695,77,95,10140,crushing endgame queenEndgame skewer veryLong,https://lichess.org/sgyBXjQv/black#76,,0.7698228340331997
zE7Cl,8/R4p1r/7p/2k1p3/2Pp2P1/3K3P/5P2/8 w - - 0 37,d3e4 f7f5 g4f5 h7a7,1671,74,95,8800,crushing discoveredAttack endgame master rookEndgame short,https://lichess.org/LZHUOtWE#73,,0.7731777893651424
dxiWZ,r3kb1r/ppBn1ppp/8/1B6/3nP1b1/2N2N2/PPP3PP/R2K3R w kq - 3 11,b5d7 e8d7 c7e5 d4f3 g2f3 g4f3,1527,79,96,22380,advantage long middlegame pin,https://lichess.org/XkbvtPaN#21,Kings_Gambit_Accepted Kings_Gambit_Accepted_Modern_Defense,0.7874031173217848
